           k         eta           a       delta      delta'
   0.0501187  16.2154600   0.1567730   0.1406964   0.0170646
   0.0501187  16.2593900   0.1573793   0.1414473   0.0171216
   0.0501187  16.3033200   0.1579857   0.1422007   0.0171787
   0.0501187  16.3472500   0.1585921   0.1429566   0.0172358
   0.0501187  16.3911800   0.1591985   0.1437151   0.0172930
   0.0501187  16.4351100   0.1598050   0.1444760   0.0173503
   0.0501187  16.4790400   0.1604116   0.1452395   0.0174076
   0.0501187  16.5229700   0.1610181   0.1460054   0.0174650
   0.0501187  16.5669000   0.1616248   0.1467739   0.0175225
   0.0501187  16.6108300   0.1622314   0.1475450   0.0175800
   0.0501187  16.6547600   0.1628382   0.1483185   0.0176376
   0.0501187  16.6986900   0.1634450   0.1490946   0.0176952
   0.0501187  16.7426200   0.1640518   0.1498732   0.0177529
   0.0501187  16.7865500   0.1646587   0.1506544   0.0178107
   0.0501187  16.8304800   0.1652657   0.1514381   0.0178685
   0.0501187  16.8744100   0.1658728   0.1522243   0.0179263
   0.0501187  16.9183400   0.1664799   0.1530131   0.0179842
   0.0501187  16.9622700   0.1670870   0.1538044   0.0180422
   0.0501187  17.0062000   0.1676943   0.1545983   0.0181002
   0.0501187  17.0501300   0.1683016   0.1553947   0.0181583
   0.0501187  17.0940600   0.1689091   0.1561937   0.0182164
   0.0501187  17.1379900   0.1695166   0.1569952   0.0182746
   0.0501187  17.1819200   0.1701242   0.1577993   0.0183328
   0.0501187  17.2258500   0.1707319   0.1586059   0.0183910
   0.0501187  17.2697800   0.1713397   0.1594151   0.0184493
   0.0501187  17.3137100   0.1719476   0.1602269   0.0185076
   0.0501187  17.3576400   0.1725556   0.1610412   0.0185660
   0.0501187  17.4015700   0.1731638   0.1618581   0.0186244
   0.0501187  17.4455000   0.1737720   0.1626775   0.0186829
   0.0501187  17.4894300   0.1743805   0.1634995   0.0187414
   0.0501187  17.5333600   0.1749890   0.1643241   0.0187999
   0.0501187  17.5772900   0.1755978   0.1651513   0.0188584
   0.0501187  17.6212200   0.1762067   0.1659810   0.0189170
   0.0501187  17.6651500   0.1768158   0.1668134   0.0189756
   0.0501187  17.7090800   0.1774252   0.1676482   0.0190342
   0.0501187  17.7530100   0.1780348   0.1684857   0.0190929
   0.0501187  17.7969400   0.1786446   0.1693257   0.0191515
   0.0501187  17.8408700   0.1792548   0.1701684   0.0192102
   0.0501187  17.8848000   0.1798653   0.1710135   0.0192688
   0.0501187  17.9287300   0.1804762   0.1718613   0.0193275
   0.0501187  17.9726600   0.1810875   0.1727117   0.0193861
   0.0501187  18.0165900   0.1816995   0.1735646   0.0194447
   0.0501187  18.0605200   0.1823122   0.1744201   0.0195031
   0.0501187  18.1044500   0.1829258   0.1752781   0.0195613
   0.0501187  18.1483800   0.1835409   0.1761387   0.0196188
   0.0501187  18.1923100   0.1841588   0.1770018   0.0196728
   0.0501187  18.2362400   0.1848715   0.1778667   0.0196978
   0.0501187  18.2801700   0.1857331   0.1787326   0.0197236
   0.0501187  18.3241000   0.1865983   0.1795997   0.0197551
   0.0501187  18.3680300   0.1874652   0.1804683   0.0197878
   0.0501187  18.4119600   0.1883334   0.1813383   0.0198210
   0.0501187  18.4558900   0.1892024   0.1822098   0.0198548
   0.0501187  18.4998200   0.1900721   0.1830827   0.0198889
   0.0501187  18.5437500   0.1909425   0.1839572   0.0199235
   0.0501187  18.5876800   0.1918134   0.1848332   0.0199584
   0.0501187  18.6316100   0.1926847   0.1857108   0.0199938
   0.0501187  18.6755400   0.1935565   0.1865899   0.0200295
   0.0501187  18.7194700   0.1944286   0.1874706   0.0200656
   0.0501187  18.7634000   0.1953011   0.1883528   0.0201021
   0.0501187  18.8073300   0.1961740   0.1892367   0.0201390
   0.0501187  18.8512600   0.1970471   0.1901223   0.0201762
   0.0501187  18.8951900   0.1979205   0.1910094   0.0202139
   0.0501187  18.9391200   0.1987942   0.1918982   0.0202519
   0.0501187  18.9830500   0.1996682   0.1927888   0.0202902
   0.0501187  19.0269800   0.2005425   0.1936809   0.0203289
   0.0501187  19.0709100   0.2014169   0.1945749   0.0203679
   0.0501187  19.1148400   0.2022916   0.1954705   0.0204073
   0.0501187  19.1587700   0.2031666   0.1963678   0.0204471
   0.0501187  19.2027000   0.2040417   0.1972670   0.0204872
   0.0501187  19.2466300   0.2049171   0.1981679   0.0205276
   0.0501187  19.2905600   0.2057927   0.1990705   0.0205683
   0.0501187  19.3344900   0.2066685   0.1999750   0.0206094
   0.0501187  19.3784200   0.2075445   0.2008813   0.0206508
   0.0501187  19.4223500   0.2084206   0.2017894   0.0206925
   0.0501187  19.4662800   0.2092970   0.2026993   0.0207345
   0.0501187  19.5102100   0.2101736   0.2036111   0.0207769
   0.0501187  19.5541400   0.2110503   0.2045248   0.0208195
   0.0501187  19.5980700   0.2119273   0.2054403   0.0208625
   0.0501187  19.6420000   0.2128044   0.2063578   0.0209057
   0.0501187  19.6859300   0.2136817   0.2072771   0.0209492
   0.0501187  19.7298600   0.2145592   0.2081984   0.0209931
   0.0501187  19.7737900   0.2154368   0.2091216   0.0210372
   0.0501187  19.8177200   0.2163146   0.2100467   0.0210816
   0.0501187  19.8616500   0.2171926   0.2109738   0.0211262
   0.0501187  19.9055800   0.2180708   0.2119029   0.0211712
   0.0501187  19.9495100   0.2189491   0.2128339   0.0212164
   0.0501187  19.9934400   0.2198277   0.2137669   0.0212619
   0.0501187  20.0373700   0.2207063   0.2147020   0.0213077
   0.0501187  20.0813000   0.2215852   0.2156390   0.0213537
   0.0501187  20.1252300   0.2224642   0.2165781   0.0213999
   0.0501187  20.1691600   0.2233434   0.2175192   0.0214465
   0.0501187  20.2130900   0.2242227   0.2184624   0.0214932
   0.0501187  20.2570200   0.2251023   0.2194076   0.0215403
   0.0501187  20.3009500   0.2259819   0.2203549   0.0215875
   0.0501187  20.3448800   0.2268618   0.2213043   0.0216350
   0.0501187  20.3888100   0.2277418   0.2222558   0.0216828
   0.0501187  20.4327400   0.2286220   0.2232094   0.0217308
   0.0501187  20.4766700   0.2295024   0.2241651   0.0217790
   0.0501187  20.5206000   0.2303829   0.2251229   0.0218274
